rank_order,rank,name,scores_overall,scores_overall_rank,scores_teaching,scores_teaching_rank,scores_research,scores_research_rank,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,location,stats_number_students,stats_student_staff_ratio,stats_pc_intl_students,stats_female_male_ratio,aliases,subjects_offered,closed,unaccredited
430,43,Universität Heidelberg,74.1,430,67.2,38,61.5,75,96,78,55.7,308,71.2,331,Germany,19347,13.5,21%,55:45:00,Universität Heidelberg,"History, Philosophy & Theology,Sport Science,Physics & Astronomy,Geology, Environmental, Earth & Marine Sciences,Law,Education,Mathematics & Statistics,Geography,Politics & International Studies (incl Development Studies),Computer Science,Economics & Econometrics,Other Health,Psychology,Chemistry,Sociology,Archaeology,Art, Performing Arts & Design,Biological Sciences,Languages, Literature & Linguistics,Medicine & Dentistry",FALSE,FALSE
440,44,Monash University,73.6,440,56.9,72,68.7,57,90.4,140,78.4,128,91,103,Australia,58725,42.5,41%,57:43:00,Monash University,"Economics & Econometrics,Sport Science,Art, Performing Arts & Design,Geography,Mechanical & Aerospace Engineering,History, Philosophy & Theology,Civil Engineering,Physics & Astronomy,Education,Communication & Media Studies,Architecture,Medicine & Dentistry,Law,Politics & International Studies (incl Development Studies),Other Health,Biological Sciences,Sociology,Accounting & Finance,Mathematics & Statistics,Electrical & Electronic Engineering,Business & Management,Chemical Engineering,Psychology,Archaeology,Computer Science,Chemistry,Languages, Literature & Linguistics,General Engineering,Geology, Environmental, Earth & Marine Sciences",FALSE,FALSE
450,45,Chinese University of Hong Kong,73.2,450,59.1,62,61.1,77,95.7,82,60.9,264,92.5,88,Hong Kong,18468,19,21%,,Chinese University of Hong Kong CUHK,"General Engineering,Education,Languages, Literature & Linguistics,Sport Science,Physics & Astronomy,Geography,Accounting & Finance,Other Health,Medicine & Dentistry,Economics & Econometrics,Psychology,Sociology,History, Philosophy & Theology,Geology, Environmental, Earth & Marine Sciences,Communication & Media Studies,Electrical & Electronic Engineering,Chemistry,Politics & International Studies (incl Development Studies),Mechanical & Aerospace Engineering,Mathematics & Statistics,Architecture,Business & Management,Art, Performing Arts & Design,Law,Computer Science,Biological Sciences",FALSE,FALSE
460,46,McGill University,73,460,62,51,72.4,52,82.5,274,43.5,644,91,101,Canada,32309,12.5,30%,60:40:00,McGill University,"Accounting & Finance,Education,Biological Sciences,Art, Performing Arts & Design,Archaeology,Law,Politics & International Studies (incl Development Studies),Other Health,Computer Science,Mathematics & Statistics,Architecture,Languages, Literature & Linguistics,Civil Engineering,Psychology,Business & Management,Chemistry,Mechanical & Aerospace Engineering,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,Medicine & Dentistry,Sport Science,Sociology,History, Philosophy & Theology,Chemical Engineering,Agriculture & Forestry,Geography,General Engineering,Physics & Astronomy,Electrical & Electronic Engineering,Communication & Media Studies",FALSE,FALSE
470,47,Paris Sciences et Lettres – PSL Research University Paris,72.9,470,68.2,35,73.5,47,75.5,400,78.8,125,76.3,262,France,16218,15,22%,51:49:00,Paris Sciences et Lettres – PSL Research University Paris,"History, Philosophy & Theology,Art, Performing Arts & Design,Geology, Environmental, Earth & Marine Sciences,Archaeology,Chemistry,Accounting & Finance,Mechanical & Aerospace Engineering,Other Health,Politics & International Studies (incl Development Studies),Chemical Engineering,General Engineering,Communication & Media Studies,Languages, Literature & Linguistics,Law,Civil Engineering,Economics & Econometrics,Sociology,Electrical & Electronic Engineering,Mathematics & Statistics,Business & Management,Geography,Physics & Astronomy,Biological Sciences,Computer Science",FALSE,FALSE
480,48,University of Illinois at Urbana-Champaign,72.7,480,67.1,39,78.9,32,78.1,359,50.1,407,56.2,550,United States of America,48674,17.4,22%,48:52:00,University of Illinois at Urbana-Champaign,"Art, Performing Arts & Design,Computer Science,Archaeology,General Engineering,Communication & Media Studies,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,Law,Architecture,Mechanical & Aerospace Engineering,Mathematics & Statistics,Chemical Engineering,Business & Management,Geography,History, Philosophy & Theology,Other Health,Sport Science,Psychology,Medicine & Dentistry,Agriculture & Forestry,Politics & International Studies (incl Development Studies),Chemistry,Electrical & Electronic Engineering,Sociology,Languages, Literature & Linguistics,Education,Accounting & Finance,Civil Engineering,Veterinary Science,Biological Sciences,Physics & Astronomy",FALSE,FALSE
490,49,Karolinska Institute,72.4,490,51.1,103,68.8,56,94,98,66.4,218,87.3,148,Sweden,8021,9.9,27%,70:30:00,Karolinska Institute,"Education,Psychology,Chemical Engineering,Other Health,Mathematics & Statistics,Medicine & Dentistry,Sociology,Languages, Literature & Linguistics,Biological Sciences,Geology, Environmental, Earth & Marine Sciences,Business & Management",FALSE,FALSE
500,50,University of Texas at Austin,72.3,500,66.2,43,73.1,49,87.5,195,51.3,383,40.1,957,United States of America,49171,17.4,10%,53:47:00,University of Texas at Austin,"Architecture,Business & Management,Law,Communication & Media Studies,Biological Sciences,Economics & Econometrics,Psychology,Education,Sport Science,History, Philosophy & Theology,Computer Science,Physics & Astronomy,Archaeology,Medicine & Dentistry,Electrical & Electronic Engineering,Sociology,General Engineering,Languages, Literature & Linguistics,Politics & International Studies (incl Development Studies),Art, Performing Arts & Design,Chemical Engineering,Mathematics & Statistics,Accounting & Finance,Mechanical & Aerospace Engineering,Geography,Civil Engineering,Geology, Environmental, Earth & Marine Sciences,Other Health,Chemistry",FALSE,FALSE
510,51,Fudan University,72,510,71.8,31,75.8,41,74.5,423,77.3,143,45.2,795,China,36318,11.9,9%,52:48:00,Fudan University,"Mechanical & Aerospace Engineering,Chemical Engineering,Mathematics & Statistics,Psychology,Physics & Astronomy,Other Health,Geology, Environmental, Earth & Marine Sciences,Business & Management,Communication & Media Studies,Languages, Literature & Linguistics,Geography,Law,Medicine & Dentistry,Chemistry,Economics & Econometrics,General Engineering,Politics & International Studies (incl Development Studies),Archaeology,Electrical & Electronic Engineering,Biological Sciences,History, Philosophy & Theology,Education,Art, Performing Arts & Design,Computer Science,Sociology,Accounting & Finance,Agriculture & Forestry",FALSE,FALSE
520,52,Shanghai Jiao Tong University,71.2,520,75.3,27,82.9,26,59.9,670,100,7,43.7,842,China,37478,11.5,8%,42:58:00,Shanghai Jiao Tong University SJTU,"Medicine & Dentistry,Veterinary Science,Politics & International Studies (incl Development Studies),Art, Performing Arts & Design,Civil Engineering,Communication & Media Studies,Electrical & Electronic Engineering,Physics & Astronomy,Computer Science,Chemistry,History, Philosophy & Theology,Education,Biological Sciences,Architecture,Chemical Engineering,Agriculture & Forestry,Sociology,Economics & Econometrics,Mechanical & Aerospace Engineering,Mathematics & Statistics,Languages, Literature & Linguistics,Other Health,Sport Science,Accounting & Finance,General Engineering,Psychology,Business & Management,Law,Geology, Environmental, Earth & Marine Sciences",FALSE,FALSE
530,53,The University of Queensland,71.1,530,55.9,80,66.5,58,84.3,245,82,102,93.2,79,Australia,41372,34.2,41%,55:45:00,The University of Queensland UQ UOQ,"History, Philosophy & Theology,Civil Engineering,Veterinary Science,Sociology,Geology, Environmental, Earth & Marine Sciences,Mechanical & Aerospace Engineering,Architecture,Biological Sciences,Archaeology,Medicine & Dentistry,Sport Science,Accounting & Finance,General Engineering,Communication & Media Studies,Languages, Literature & Linguistics,Politics & International Studies (incl Development Studies),Computer Science,Mathematics & Statistics,Physics & Astronomy,Electrical & Electronic Engineering,Law,Other Health,Chemistry,Education,Chemical Engineering,Psychology,Economics & Econometrics,Geography,Agriculture & Forestry,Art, Performing Arts & Design,Business & Management",FALSE,FALSE
540,54,University of Manchester,70.9,540,54.5,88,63.7,69,91.3,129,45.3,552,92.7,86,United Kingdom,37035,14.2,44%,55:45:00,University of Manchester,"Archaeology,Chemical Engineering,Psychology,Languages, Literature & Linguistics,General Engineering,Geography,Education,Mechanical & Aerospace Engineering,Sociology,History, Philosophy & Theology,Electrical & Electronic Engineering,Communication & Media Studies,Business & Management,Chemistry,Computer Science,Biological Sciences,Architecture,Medicine & Dentistry,Mathematics & Statistics,Economics & Econometrics,Law,Civil Engineering,Physics & Astronomy,Accounting & Finance,Art, Performing Arts & Design,Politics & International Studies (incl Development Studies),Other Health,Geology, Environmental, Earth & Marine Sciences",FALSE,FALSE
550,54,The University of Sydney,70.9,550,53.1,92,65.8,62,88.5,174,73.2,170,90.6,106,Australia,45853,19,45%,58:42:00,The University of Sydney UniSyd,"History, Philosophy & Theology,Business & Management,Languages, Literature & Linguistics,Computer Science,Medicine & Dentistry,Archaeology,Chemistry,Chemical Engineering,Communication & Media Studies,Education,Sociology,Psychology,Agriculture & Forestry,Accounting & Finance,Sport Science,Art, Performing Arts & Design,Other Health,Veterinary Science,Physics & Astronomy,General Engineering,Law,Geography,Architecture,Geology, Environmental, Earth & Marine Sciences,Electrical & Electronic Engineering,Biological Sciences,Civil Engineering,Politics & International Studies (incl Development Studies),Economics & Econometrics,Mechanical & Aerospace Engineering,Mathematics & Statistics",FALSE,FALSE
560,56,Seoul National University,70.8,560,75.2,28,76.2,38,67.6,526,96.6,31,35.9,1070,South Korea,26209,15.1,10%,,Seoul National University,"Politics & International Studies (incl Development Studies),Biological Sciences,Geology, Environmental, Earth & Marine Sciences,Communication & Media Studies,Mechanical & Aerospace Engineering,Civil Engineering,Economics & Econometrics,Veterinary Science,Accounting & Finance,Other Health,Education,General Engineering,Agriculture & Forestry,Architecture,Archaeology,Mathematics & Statistics,Computer Science,Geography,Chemical Engineering,Physics & Astronomy,Business & Management,Sociology,Medicine & Dentistry,Art, Performing Arts & Design,Law,Electrical & Electronic Engineering,History, Philosophy & Theology,Languages, Literature & Linguistics,Psychology,Sport Science,Chemistry",FALSE,FALSE
570,57,Washington University in St Louis,70.6,570,60.3,54,56.8,101,98.2,44,47.5,473,64,424,United States of America,14420,7.8,24%,53:47:00,Washington University in St Louis,"General Engineering,Languages, Literature & Linguistics,Computer Science,Geology, Environmental, Earth & Marine Sciences,Law,Psychology,Biological Sciences,Chemistry,Education,Architecture,Communication & Media Studies,History, Philosophy & Theology,Medicine & Dentistry,Economics & Econometrics,Sociology,Chemical Engineering,Business & Management,Mathematics & Statistics,Electrical & Electronic Engineering,Accounting & Finance,Archaeology,Other Health,Mechanical & Aerospace Engineering,Art, Performing Arts & Design,Politics & International Studies (incl Development Studies),Physics & Astronomy",FALSE,FALSE
580,58,The Hong Kong University of Science and Technology,70.5,580,51.4,101,63.4,70,87.7,190,95,40,97.7,15,Hong Kong,9864,21,32%,,The Hong Kong University of Science and Technology hkust,"Civil Engineering,Economics & Econometrics,Mathematics & Statistics,Geology, Environmental, Earth & Marine Sciences,Other Health,Chemistry,Mechanical & Aerospace Engineering,General Engineering,Biological Sciences,Business & Management,Education,Chemical Engineering,Languages, Literature & Linguistics,Computer Science,Accounting & Finance,Electrical & Electronic Engineering,Sociology,Physics & Astronomy",FALSE,FALSE
590,59,Wageningen University & Research,70.3,590,50.4,109,60.2,79,93.2,109,100,10,88.8,124,Netherlands,15404,18.6,27%,55:45:00,Wageningen University & Research,"Chemical Engineering,Economics & Econometrics,Geology, Environmental, Earth & Marine Sciences,Business & Management,Other Health,Sociology,Communication & Media Studies,Biological Sciences,Politics & International Studies (incl Development Studies),Veterinary Science,Agriculture & Forestry,Chemistry",FALSE,FALSE
600,60,University of Amsterdam,69.6,600,48,126,64.1,68,93.3,106,44.4,589,91.9,95,Netherlands,29157,14.5,32%,59:41:00,University of Amsterdam uva,"Economics & Econometrics,Communication & Media Studies,History, Philosophy & Theology,Biological Sciences,Medicine & Dentistry,Computer Science,Physics & Astronomy,Art, Performing Arts & Design,Mathematics & Statistics,Sociology,Business & Management,Education,Archaeology,Geology, Environmental, Earth & Marine Sciences,Other Health,Psychology,Languages, Literature & Linguistics,Chemistry,Accounting & Finance,Law,Politics & International Studies (incl Development Studies),Geography",FALSE,FALSE
610,61,Brown University,69.3,610,64.5,48,58,94,89.5,157,39,1105,63.3,435,United States of America,10037,10.1,21%,,Brown University,"Chemistry,Archaeology,Mechanical & Aerospace Engineering,Languages, Literature & Linguistics,Mathematics & Statistics,Communication & Media Studies,Psychology,Computer Science,Other Health,History, Philosophy & Theology,Sociology,Electrical & Electronic Engineering,Business & Management,General Engineering,Geology, Environmental, Earth & Marine Sciences,Medicine & Dentistry,Art, Performing Arts & Design,Biological Sciences,Physics & Astronomy,Architecture,Chemical Engineering,Economics & Econometrics,Politics & International Studies (incl Development Studies),Education",FALSE,FALSE
